num_code,char_code,nominal,name,value,date
036,AUD,1,Австралийский доллар,"61,3468",01/01/2024
944,AZN,1,Азербайджанский манат,"52,7578",01/01/2024
826,GBP,1,Фунт стерлингов,"114,5320",01/01/2024
051,AMD,100,Армянских драмов,"22,1567",01/01/2024
933,BYN,1,Белорусский рубль,"28,2261",01/01/2024
975,BGN,1,Болгарский лев,"50,9651",01/01/2024
986,BRL,1,Бразильский реал,"18,5268",01/01/2024
348,HUF,100,Форинтов,"25,8886",01/01/2024
704,VND,10000,Донгов,"37,5799",01/01/2024
344,HKD,1,Гонконгский доллар,"11,5014",01/01/2024
981,GEL,1,Лари,"33,3042",01/01/2024
208,DKK,1,Датская крона,"13,3717",01/01/2024
784,AED,1,Дирхам ОАЭ,"24,4216",01/01/2024
840,USD,1,Доллар США,"89,6883",01/01/2024
978,EUR,1,Евро,"99,1919",01/01/2024
818,EGP,10,Египетских фунтов,"29,0317",01/01/2024
356,INR,10,Индийских рупий,"10,7735",01/01/2024
360,IDR,10000,Рупий,"58,1787",01/01/2024
398,KZT,100,Тенге,"19,7708",01/01/2024
124,CAD,1,Канадский доллар,"67,8840",01/01/2024
634,QAR,1,Катарский риал,"24,6396",01/01/2024
417,KGS,10,Сомов,"10,0677",01/01/2024
156,CNY,1,Юань,"12,5762",01/01/2024
498,MDL,10,Молдавских леев,"51,5266",01/01/2024
554,NZD,1,Новозеландский доллар,"56,8624",01/01/2024
578,NOK,10,Норвежских крон,"88,5059",01/01/2024
985,PLN,1,Злотый,"22,7925",01/01/2024
946,RON,1,Румынский лей,"19,9494",01/01/2024
960,XDR,1,СДР (специальные права заимствования),"120,3321",01/01/2024
702,SGD,1,Сингапурский доллар,"68,0178",01/01/2024
972,TJS,10,Сомони,"81,8712",01/01/2024
764,THB,10,Батов,"26,2068",01/01/2024
949,TRY,10,Турецких лир,"30,4815",01/01/2024
934,TMT,1,Новый туркменский манат,"25,6252",01/01/2024
860,UZS,10000,Узбекских сумов,"72,6882",01/01/2024
980,UAH,10,Гривен,"23,6131",01/01/2024
203,CZK,10,Чешских крон,"40,3293",01/01/2024
752,SEK,10,Шведских крон,"90,3042",01/01/2024
756,CHF,1,Швейцарский франк,"106,7591",01/01/2024
941,RSD,100,Сербских динаров,"84,7178",01/01/2024
710,ZAR,10,Рэндов,"48,2647",01/01/2024
410,KRW,1000,Вон,"69,6338",01/01/2024
392,JPY,100,Иен,"63,3302",01/01/2024
