base_code,conversion_rate,rate,today,date
RUB,RUB,1.0,2025-02-14,<class 'datetime.date'>
RUB,AED,0.03999,2025-02-14,<class 'datetime.date'>
RUB,AFN,0.7906,2025-02-14,<class 'datetime.date'>
RUB,ALL,1.0255,2025-02-14,<class 'datetime.date'>
RUB,AMD,4.2973,2025-02-14,<class 'datetime.date'>
RUB,ANG,0.01949,2025-02-14,<class 'datetime.date'>
RUB,AOA,10.0025,2025-02-14,<class 'datetime.date'>
RUB,ARS,11.5149,2025-02-14,<class 'datetime.date'>
RUB,AUD,0.01758,2025-02-14,<class 'datetime.date'>
RUB,AWG,0.01949,2025-02-14,<class 'datetime.date'>
RUB,AZN,0.01845,2025-02-14,<class 'datetime.date'>
RUB,BAM,0.02045,2025-02-14,<class 'datetime.date'>
RUB,BBD,0.02178,2025-02-14,<class 'datetime.date'>
RUB,BDT,1.34,2025-02-14,<class 'datetime.date'>
RUB,BGN,0.02045,2025-02-14,<class 'datetime.date'>
RUB,BHD,0.004094,2025-02-14,<class 'datetime.date'>
RUB,BIF,31.584,2025-02-14,<class 'datetime.date'>
RUB,BMD,0.01089,2025-02-14,<class 'datetime.date'>
RUB,BND,0.01469,2025-02-14,<class 'datetime.date'>
RUB,BOB,0.07472,2025-02-14,<class 'datetime.date'>
RUB,BRL,0.06381,2025-02-14,<class 'datetime.date'>
RUB,BSD,0.01089,2025-02-14,<class 'datetime.date'>
RUB,BTN,0.9466,2025-02-14,<class 'datetime.date'>
RUB,BWP,0.15,2025-02-14,<class 'datetime.date'>
RUB,BYN,0.03598,2025-02-14,<class 'datetime.date'>
RUB,BZD,0.02178,2025-02-14,<class 'datetime.date'>
RUB,CAD,0.01575,2025-02-14,<class 'datetime.date'>
RUB,CDF,30.4623,2025-02-14,<class 'datetime.date'>
RUB,CHF,0.01001,2025-02-14,<class 'datetime.date'>
RUB,CLP,10.3133,2025-02-14,<class 'datetime.date'>
RUB,CNY,0.08059,2025-02-14,<class 'datetime.date'>
RUB,COP,44.8446,2025-02-14,<class 'datetime.date'>
RUB,CRC,5.4669,2025-02-14,<class 'datetime.date'>
RUB,CUP,0.2613,2025-02-14,<class 'datetime.date'>
RUB,CVE,1.1531,2025-02-14,<class 'datetime.date'>
RUB,CZK,0.2648,2025-02-14,<class 'datetime.date'>
RUB,DJF,1.9352,2025-02-14,<class 'datetime.date'>
RUB,DKK,0.07864,2025-02-14,<class 'datetime.date'>
RUB,DOP,0.6684,2025-02-14,<class 'datetime.date'>
RUB,DZD,1.4599,2025-02-14,<class 'datetime.date'>
RUB,EGP,0.5584,2025-02-14,<class 'datetime.date'>
RUB,ERN,0.1633,2025-02-14,<class 'datetime.date'>
RUB,ETB,1.3668,2025-02-14,<class 'datetime.date'>
RUB,EUR,0.0106,2025-02-14,<class 'datetime.date'>
RUB,FJD,0.02506,2025-02-14,<class 'datetime.date'>
RUB,FKP,0.008714,2025-02-14,<class 'datetime.date'>
RUB,FOK,0.07747,2025-02-14,<class 'datetime.date'>
RUB,GBP,0.008834,2025-02-14,<class 'datetime.date'>
RUB,GEL,0.03053,2025-02-14,<class 'datetime.date'>
RUB,GGP,0.008714,2025-02-14,<class 'datetime.date'>
RUB,GHS,0.1668,2025-02-14,<class 'datetime.date'>
RUB,GIP,0.008714,2025-02-14,<class 'datetime.date'>
RUB,GMD,0.7814,2025-02-14,<class 'datetime.date'>
RUB,GNF,92.8354,2025-02-14,<class 'datetime.date'>
RUB,GTQ,0.08326,2025-02-14,<class 'datetime.date'>
RUB,GYD,2.2293,2025-02-14,<class 'datetime.date'>
RUB,HKD,0.08613,2025-02-14,<class 'datetime.date'>
RUB,HNL,0.2747,2025-02-14,<class 'datetime.date'>
RUB,HRK,0.07879,2025-02-14,<class 'datetime.date'>
RUB,HTG,1.3945,2025-02-14,<class 'datetime.date'>
RUB,HUF,4.2582,2025-02-14,<class 'datetime.date'>
RUB,IDR,181.4513,2025-02-14,<class 'datetime.date'>
RUB,ILS,0.03959,2025-02-14,<class 'datetime.date'>
RUB,IMP,0.008714,2025-02-14,<class 'datetime.date'>
RUB,INR,0.9594,2025-02-14,<class 'datetime.date'>
RUB,IQD,13.943,2025-02-14,<class 'datetime.date'>
RUB,IRR,460.4131,2025-02-14,<class 'datetime.date'>
RUB,ISK,1.5325,2025-02-14,<class 'datetime.date'>
RUB,JEP,0.008714,2025-02-14,<class 'datetime.date'>
RUB,JMD,1.702,2025-02-14,<class 'datetime.date'>
RUB,JOD,0.00772,2025-02-14,<class 'datetime.date'>
RUB,JPY,1.6967,2025-02-14,<class 'datetime.date'>
RUB,KES,1.3975,2025-02-14,<class 'datetime.date'>
RUB,KGS,0.948,2025-02-14,<class 'datetime.date'>
RUB,KHR,42.698,2025-02-14,<class 'datetime.date'>
RUB,KID,0.01734,2025-02-14,<class 'datetime.date'>
RUB,KMF,5.1449,2025-02-14,<class 'datetime.date'>
RUB,KRW,16.0187,2025-02-14,<class 'datetime.date'>
RUB,KWD,0.003352,2025-02-14,<class 'datetime.date'>
RUB,KYD,0.009074,2025-02-14,<class 'datetime.date'>
RUB,KZT,5.5092,2025-02-14,<class 'datetime.date'>
RUB,LAK,235.6381,2025-02-14,<class 'datetime.date'>
RUB,LBP,974.5865,2025-02-14,<class 'datetime.date'>
